Company,Region,Fiscal Year,Event Date (adjusted),Estimation N,Est_Calendar_Mismatch_N,Alpha,Beta,"CAR[-1,+1]","CAR[-1,+1]_Calendar_Gaps","CAR[-2,+2]","CAR[0,+1]","CAR[0,+5]","CAR[0,+15]","CAR[0,+20]","CAR[0,+30]","CAR[0,+45]","CAR[0,+60]","|CAR|[-1,+1]",n_corporate_tier1plus,Specificity,ESGSentiment,total_sentences,Sentiment
AXA SA,Europe (France),2016,2017-03-29,215,6,4.772451752659483e-05,1.8951580131513532,0.0038567368984394,0,0.0202529766274567,0.0119062286113726,0.0039503343788222,0.0094543232533672,0.0147101049889167,0.0343671025262914,-0.0262267394830186,-0.0179345540050217,0.0038567368984394,13.0,1.1538461538461537,0.5384615384615384,42.0,0.6666666666666666
AXA SA,Europe (France),2017,2018-03-27,216,5,6.623660234283438e-05,0.5394066488294742,0.0007673330070715,0,-0.012433669253196,0.0209610037861418,0.0206480504868662,0.0810127004545404,0.0847314873426973,0.0868067491412728,0.0670962478435756,0.0460282202712248,0.0007673330070715,8.0,1.75,0.875,36.0,0.75
AXA SA,Europe (France),2018,2019-03-28,215,6,0.0001476281897204,0.4789941787080848,0.0003718888477211,0,0.0069270413870261,-0.0060769961342605,0.0266515715260657,0.0358138708971886,0.0292982582428081,0.0321382484712093,0.0358746158674287,0.0531369605567006,0.0003718888477211,7.0,1.8571428571428572,0.8571428571428571,41.0,0.7804878048780488
AXA SA,Europe (France),2019,2020-03-30,214,7,0.000146388107724,0.7353132725677681,-0.0242910963343473,0,-0.1046980926053233,0.0064694132632065,-0.0730115729592264,-0.1139162485562695,-0.0316839353453858,-0.1147248751249728,0.0594732527555747,0.0321975610000893,0.0242910963343473,8.0,2.125,0.875,42.0,0.8333333333333334
AXA SA,Europe (France),2020,2021-03-23,216,5,-0.0004895046702979,0.9557245595625258,-0.0027415868865964,0,-0.0047422118720889,0.0168945524771954,0.0327996302365624,0.0151050366782811,0.0155186684475855,0.0506417587458726,0.039027055927803,0.0667152947192501,0.0027415868865964,17.0,1.2941176470588236,0.7647058823529411,47.0,0.48936170212765956
AXA SA,Europe (France),2021,2022-03-24,215,6,0.0010230502207173,0.5350190703147427,-0.0158039561949042,0,-0.0022018479417321,-0.0102709413937272,0.01989827387768,0.0417359079422689,0.0036639565164138,-0.0503060924165768,-0.0052260991303773,-0.0244405231914455,0.0158039561949042,24.0,1.75,0.875,58.0,0.7586206896551724
AXA SA,Europe (France),2022,2023-03-23,214,7,0.0007299009921386,0.3876044139145493,-0.0383527797234324,0,0.0065366914685038,-0.0348801392912005,0.013253081838089,-0.0017048393265099,0.0289231764472495,0.0218409695846096,-0.0165959379188421,-0.0653987528986613,0.0383527797234324,11.0,1.4545454545454546,0.7272727272727273,43.0,0.627906976744186
AXA SA,Europe (France),2023,2024-03-21,215,6,0.000349782247887,0.5252504075374989,-0.0107094310656447,0,0.0014609393792789,-0.0047109840814081,0.0017029506765439,-0.0122607299358991,0.0051736223326931,-0.0083085239396987,-0.0043620534735025,-0.1054819885216829,0.0107094310656447,6.0,1.3333333333333333,0.6666666666666666,20.0,0.75
Allianz SE,Europe (Germany),2012,2013-03-15,214,7,0.0006261167952496,0.330605592938678,-0.0155958042753507,0,-0.0208486069076528,-0.0274576775660175,-0.0419246359179507,-0.0888235091332662,-0.074551823364779,-0.0394257756634163,0.0578306525978628,-0.0313907613195107,0.0155958042753507,3.0,1.6666666666666667,0.3333333333333333,37.0,0.3783783783783784
Allianz SE,Europe (Germany),2013,2014-03-14,216,5,0.0002578333320963,0.2469515909697615,0.0110564261490943,0,0.0029411438126946,0.0192900804255423,-0.0073021041136046,0.01862623299984,-0.0140582132509445,0.0170053689709501,0.0400524416191506,0.0434832003382481,0.0110564261490943,2.0,1.0,0.0,50.0,0.42
